,nominal_temperature,boundary_conditions
0,3,"[1, 18, 45, 1, 55, 2, 24, 21, 57, 39, 85, 28, 87, 56, 100, 48, 5, 42, 33, 62, 59, 28, 28, 66, 56, 88, 44, 68, 11, 63, 66, 82, 92, 80, 100, 74]"
1,72,"[99, 22, 92, 34, 61, 26, 24, 79, 67, 78, 64, 28, 50, 59, 49, 39, 74, 46, 41, 19, 3, 57, 30, 0, 92, 56, 62, 82, 15, 8, 59, 86, 24, 30, 24, 96]"
2,42,"[67, 87, 9, 27, 21, 76, 43, 74, 56, 67, 95, 58, 20, 35, 39, 22, 96, 39, 61, 94, 73, 83, 19, 37, 0, 6, 42, 98, 91, 81, 93, 31, 33, 43, 98, 88]"
3,68,"[2, 59, 1, 17, 56, 98, 22, 1, 89, 87, 48, 87, 76, 21, 39, 12, 0, 8, 56, 75, 76, 62, 5, 5, 20, 10, 76, 34, 29, 94, 19, 74, 93, 1, 75, 73]"
4,12,"[69, 68, 60, 66, 69, 4, 75, 82, 77, 49, 22, 43, 45, 8, 89, 13, 11, 80, 1, 94, 50, 83, 8, 99, 12, 40, 62, 68, 28, 34, 7, 50, 55, 76, 97, 89]"
5,10,"[70, 44, 62, 92, 94, 49, 35, 95, 82, 75, 81, 19, 56, 97, 74, 54, 1, 58, 64, 58, 15, 98, 81, 26, 7, 16, 44, 72, 15, 49, 28, 56, 4, 20, 10, 88]"
6,69,"[83, 32, 61, 95, 9, 73, 51, 69, 5, 100, 12, 37, 53, 74, 7, 47, 6, 62, 34, 69, 78, 28, 80, 46, 63, 0, 5, 61, 46, 72, 31, 9, 22, 54, 75, 29]"
7,27,"[78, 68, 91, 43, 27, 77, 9, 55, 29, 66, 2, 32, 30, 69, 69, 34, 51, 94, 13, 48, 72, 75, 78, 46, 70, 52, 79, 49, 52, 37, 100, 84, 45, 66, 49, 82]"
8,3,"[46, 97, 97, 54, 13, 12, 38, 74, 15, 73, 74, 41, 100, 39, 96, 19, 18, 59, 51, 62, 69, 15, 96, 63, 28, 16, 38, 20, 40, 43, 41, 47, 63, 52, 23, 52]"
9,66,"[60, 92, 44, 12, 45, 91, 3, 82, 71, 48, 18, 60, 45, 83, 13, 86, 20, 93, 32, 16, 16, 16, 44, 16, 43, 31, 86, 62, 57, 32, 40, 40, 26, 70, 39, 64]"
10,91,"[35, 10, 37, 75, 93, 40, 80, 23, 21, 59, 22, 15, 20, 3, 53, 43, 6, 21, 38, 67, 17, 60, 4, 99, 12, 96, 51, 70, 90, 90, 15, 29, 10, 17, 61, 21]"
11,40,"[34, 88, 65, 72, 32, 45, 79, 35, 72, 13, 46, 73, 19, 51, 49, 55, 89, 43, 84, 82, 2, 16, 60, 43, 26, 12, 56, 65, 90, 19, 54, 74, 15, 28, 68, 25]"
12,71,"[56, 81, 41, 24, 25, 4, 75, 0, 7, 67, 68, 87, 80, 79, 37, 41, 7, 23, 69, 54, 9, 14, 62, 56, 9, 45, 5, 81, 80, 48, 44, 91, 72, 67, 85, 36]"
13,31,"[28, 75, 12, 97, 16, 45, 98, 90, 20, 15, 51, 10, 90, 13, 45, 12, 55, 73, 63, 75, 98, 65, 77, 32, 35, 22, 84, 27, 8, 10, 25, 85, 48, 57, 33, 87]"
14,22,"[43, 6, 2, 37, 48, 100, 24, 75, 70, 68, 4, 70, 66, 5, 69, 32, 82, 20, 54, 46, 84, 18, 25, 53, 99, 28, 77, 21, 14, 66, 61, 48, 0, 61, 79, 3]"
15,67,"[76, 83, 9, 83, 6, 67, 42, 34, 86, 79, 79, 52, 62, 29, 52, 19, 88, 23, 90, 6, 100, 67, 60, 81, 72, 22, 47, 44, 76, 25, 30, 48, 79, 7, 20, 0]"
16,31,"[26, 57, 94, 52, 14, 64, 90, 71, 42, 81, 64, 59, 86, 31, 98, 78, 59, 36, 54, 86, 91, 37, 83, 43, 5, 88, 85, 2, 24, 60, 28, 17, 35, 31, 71, 99]"
17,0,"[18, 90, 2, 6, 86, 7, 57, 17, 60, 76, 10, 77, 79, 26, 8, 67, 31, 39, 55, 70, 15, 76, 25, 83, 4, 59, 67, 15, 63, 76, 75, 53, 38, 86, 19, 88]"
18,64,"[92, 17, 6, 83, 46, 52, 93, 93, 60, 80, 49, 8, 71, 7, 17, 75, 28, 15, 50, 72, 31, 49, 70, 45, 74, 9, 75, 43, 68, 52, 13, 47, 86, 5, 98, 97]"
19,19,"[53, 17, 79, 81, 49, 3, 69, 37, 60, 5, 69, 52, 26, 96, 54, 54, 69, 30, 33, 30, 98, 86, 15, 58, 29, 91, 87, 60, 61, 75, 90, 16, 93, 0, 71, 72]"
20,74,"[55, 12, 52, 81, 66, 36, 27, 8, 27, 84, 74, 41, 64, 55, 56, 89, 0, 90, 51, 48, 92, 85, 55, 74, 80, 81, 17, 11, 31, 40, 49, 41, 30, 85, 7, 88]"
21,63,"[53, 37, 100, 22, 33, 29, 76, 47, 50, 26, 32, 98, 47, 19, 29, 95, 88, 45, 38, 32, 25, 58, 14, 39, 66, 15, 32, 16, 95, 95, 88, 97, 93, 13, 13, 9]"
22,8,"[5, 85, 61, 39, 33, 2, 69, 77, 91, 19, 59, 71, 69, 39, 54, 69, 88, 26, 56, 36, 26, 19, 93, 46, 65, 34, 16, 10, 75, 38, 33, 19, 47, 16, 65, 9]"
23,79,"[52, 73, 90, 84, 33, 93, 99, 26, 0, 62, 28, 53, 96, 89, 37, 78, 43, 55, 74, 18, 20, 5, 30, 78, 4, 13, 63, 63, 67, 64, 12, 58, 64, 51, 43, 48]"
24,85,"[56, 80, 21, 99, 79, 12, 40, 55, 32, 98, 65, 48, 75, 29, 63, 92, 22, 89, 4, 34, 95, 25, 40, 39, 11, 14, 37, 64, 58, 84, 26, 3, 52, 45, 28, 50]"
25,96,"[49, 81, 21, 37, 68, 60, 91, 59, 17, 12, 34, 50, 6, 19, 5, 88, 1, 17, 83, 13, 54, 6, 22, 11, 81, 60, 77, 72, 26, 18, 46, 81, 22, 13, 64, 53]"
26,85,"[14, 72, 74, 14, 36, 21, 62, 84, 81, 15, 5, 11, 74, 21, 29, 76, 56, 87, 81, 64, 61, 22, 33, 69, 55, 67, 58, 86, 7, 69, 92, 100, 61, 82, 82, 50]"
27,54,"[24, 19, 10, 13, 35, 27, 6, 51, 49, 53, 67, 75, 60, 100, 70, 76, 50, 7, 53, 27, 42, 80, 58, 46, 18, 54, 59, 5, 29, 19, 83, 52, 9, 24, 74, 40]"
28,37,"[47, 19, 76, 48, 24, 84, 80, 99, 22, 15, 76, 29, 82, 69, 67, 17, 94, 20, 75, 42, 73, 37, 57, 83, 3, 52, 2, 9, 72, 80, 95, 33, 46, 11, 61, 95]"
